name,id
gfs_seamless,2
gfs_global,3
meteofrance_seamless,5
meteofrance_arpege_world,7
meteofrance_arpege_europe,8
meteofrance_arome_france,10
meteofrance_arome_france_hd,11
jma_seamless,12
jma_gsm,15
gem_seamless,16
gem_global,17
icon_seamless,20
icon_global,21
icon_eu,22
icon_d2,23
ecmwf_ifs04,24
cma_grapes_global,53
bom_access_global,54
ecmwf_ifs025,60
ecmwf_aifs025,61
gfs_graphcast025,63
knmi_seamless,70
knmi_harmonie_arome_europe,71
dmi_seamless,73
dmi_harmonie_arome_europe,74
metno_seamless,75
ukmo_global_deterministic_10km,80
ukmo_uk_deterministic_2km,81
ukmo_seamless,82
